dexnum,name,zh_name,alola,galar,hisui,paldea,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group,Unnamed: 34,form_key,form_zh_name,gender_diff,appearance_diff,battle_form,notes
532,Timburr,搬運小匠,,,,,5.0,Fighting,,Muscular Pokémon,0.6,12.5,Guts,Sheer Force,Iron Fist,75.0,80.0,55.0,25.0,35.0,35.0,305.0,1 Attack,180,70,61,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
533,Gurdurr,鐵骨土人,,,,,5.0,Fighting,,Muscular Pokémon,1.2,40.0,Guts,Sheer Force,Iron Fist,85.0,105.0,85.0,40.0,50.0,40.0,405.0,2 Attack,90,50,142,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
534,Conkeldurr,修建老匠,,,,,5.0,Fighting,,Muscular Pokémon,1.4,87.0,Guts,Sheer Force,Iron Fist,105.0,140.0,95.0,55.0,65.0,45.0,505.0,3 Attack,45,50,227,Medium Slow,Human-Like,,75,25.0,20,Ordinary,,,,,,,
535,Tympole,圓蝌蚪,,,,,5.0,Water,,Tadpole Pokémon,0.5,4.5,Swift Swim,Hydration,Water Absorb,50.0,50.0,40.0,50.0,40.0,64.0,294.0,1 Speed,255,50,59,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
536,Palpitoad,藍蟾蜍,,,,,5.0,Water,Ground,Vibration Pokémon,0.8,17.0,Swift Swim,Hydration,Water Absorb,75.0,65.0,55.0,65.0,55.0,69.0,384.0,2 HP,120,50,134,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
537,Seismitoad,蟾蜍王,,,,,5.0,Water,Ground,Vibration Pokémon,1.5,62.0,Swift Swim,Poison Touch,Water Absorb,105.0,95.0,75.0,85.0,75.0,74.0,509.0,3 HP,45,50,229,Medium Slow,Water 1,,50,50.0,20,Ordinary,,,,,,,
538,Throh,投摔鬼,,,,,5.0,Fighting,,Judo Pokémon,1.3,55.5,Guts,Inner Focus,Mold Breaker,120.0,100.0,85.0,30.0,85.0,45.0,465.0,2 HP,45,50,163,Medium Fast,Human-Like,,100,0.0,20,Ordinary,,,,,,,
539,Sawk,打擊鬼,,,,,5.0,Fighting,,Karate Pokémon,1.4,51.0,Sturdy,Inner Focus,Mold Breaker,75.0,125.0,75.0,30.0,75.0,85.0,465.0,2 Attack,45,50,163,Medium Fast,Human-Like,,100,0.0,20,Ordinary,,,,,,,
540,Sewaddle,蟲寶包,,,,,5.0,Bug,Grass,Sewing Pokémon,0.3,2.5,Swarm,Chlorophyll,Overcoat,45.0,53.0,70.0,40.0,60.0,42.0,310.0,1 Defense,255,50,62,Medium Slow,Bug,,50,50.0,15,Ordinary,,,,,,,
541,Swadloon,寶包繭,,,,,5.0,Bug,Grass,Leaf-Wrapped Pokémon,0.5,7.3,Leaf Guard,Chlorophyll,Overcoat,55.0,63.0,90.0,50.0,80.0,42.0,380.0,2 Defense,120,50,133,Medium Slow,Bug,,50,50.0,15,Ordinary,,,,,,,
542,Leavanny,保母蟲,,,,,5.0,Bug,Grass,Nurturing Pokémon,1.2,20.5,Swarm,Chlorophyll,Overcoat,75.0,103.0,80.0,70.0,80.0,92.0,500.0,3 Attack,45,50,225,Medium Slow,Bug,,50,50.0,15,Ordinary,,,,,,,
543,Venipede,百足蜈蚣,,,,,5.0,Bug,Poison,Centipede Pokémon,0.4,5.3,Poison Point,Swarm,Speed Boost,30.0,45.0,59.0,30.0,39.0,57.0,260.0,1 Defense,255,50,52,Medium Slow,Bug,,50,50.0,15,Ordinary,,,,,,,
544,Whirlipede,車輪毬,,,,,5.0,Bug,Poison,Curlipede Pokémon,1.2,58.5,Poison Point,Swarm,Speed Boost,40.0,55.0,99.0,40.0,79.0,47.0,360.0,2 Defense,120,50,126,Medium Slow,Bug,,50,50.0,15,Ordinary,,,,,,,
545,Scolipede,蜈蚣王,,,,,5.0,Bug,Poison,Megapede Pokémon,2.5,200.5,Poison Point,Swarm,Speed Boost,60.0,100.0,89.0,55.0,69.0,112.0,485.0,3 Speed,45,50,218,Medium Slow,Bug,,50,50.0,20,Ordinary,,,,,,,
546,Cottonee,木棉球,,,,,5.0,Grass,Fairy,Cotton Puff Pokémon,0.3,0.6,Prankster,Infiltrator,Chlorophyll,40.0,27.0,60.0,37.0,50.0,66.0,280.0,1 Speed,190,50,56,Medium Fast,Fairy,Grass,50,50.0,20,Ordinary,,,,,,,
547,Whimsicott,風妖精,,,,,5.0,Grass,Fairy,Windveiled Pokémon,0.7,6.6,Prankster,Infiltrator,Chlorophyll,60.0,67.0,85.0,77.0,75.0,116.0,480.0,2 Speed,75,50,168,Medium Fast,Fairy,Grass,50,50.0,20,Ordinary,,,,,,,
548,Petilil,百合根娃娃,,,,,5.0,Grass,,Bulb Pokémon,0.5,6.6,Chlorophyll,Own Tempo,Leaf Guard,45.0,35.0,50.0,70.0,50.0,30.0,280.0,1 Sp. Atk,190,50,56,Medium Fast,Grass,,0,100.0,20,Ordinary,,,,,,,
549,Lilligant,裙兒小姐,,,"裙兒小姐
洗翠的樣子",,5.0,Grass,,Flowering Pokémon,1.1,16.3,Chlorophyll,Own Tempo,Leaf Guard,70.0,60.0,75.0,110.0,75.0,90.0,480.0,2 Sp. Atk,75,50,168,Medium Fast,Grass,,0,100.0,20,Ordinary,,,,,,,
550,Basculin,野蠻鱸魚,,,,,5.0,Water,,Hostile Pokémon,1,18.0,Reckless,Adaptability,Mold Breaker,70.0,92.0,65.0,80.0,55.0,98.0,460.0,2 Speed,25,50,161,Medium Fast,Water 2,,50,50.0,40,Ordinary,,,,,,,
551,Sandile,黑眼鱷,,,,,5.0,Ground,Dark,Desert Croc Pokémon,0.7,15.2,Intimidate,Moxie,Anger Point,50.0,72.0,35.0,35.0,35.0,65.0,292.0,1 Attack,180,50,58,Medium Slow,Field,,50,50.0,20,Ordinary,,,,,,,
552,Krokorok,混混鱷,,,,,5.0,Ground,Dark,Desert Croc Pokémon,1,33.4,Intimidate,Moxie,Anger Point,60.0,82.0,45.0,45.0,45.0,74.0,351.0,2 Attack,90,50,123,Medium Slow,Field,,50,50.0,20,Ordinary,,,,,,,
553,Krookodile,流氓鱷,,,,,5.0,Ground,Dark,Intimidation Pokémon,1.5,96.3,Intimidate,Moxie,Anger Point,95.0,117.0,80.0,65.0,70.0,92.0,519.0,3 Attack,45,50,260,Medium Slow,Field,,50,50.0,20,Ordinary,,,,,,,
554,Darumaka,火紅不倒翁,,"火紅不倒翁
伽勒爾的樣子",,,5.0,Fire,,Zen Charm Pokémon,0.6,37.5,Hustle,Inner Focus,,70.0,90.0,45.0,15.0,45.0,50.0,315.0,1 Attack,120,50,63,Medium Slow,Field,,50,50.0,20,Ordinary,,,,,,,
555,Darmanitan,達摩狒狒,,"達摩狒狒
伽勒爾的樣子",,,5.0,Fire,,Blazing Pokémon,1.3,92.9,Sheer Force,Zen Mode,,105.0,140.0,55.0,30.0,55.0,95.0,480.0,2 Attack,60,50,168,Medium Slow,Field,,50,50.0,20,Ordinary,,,,,,,
556,Maractus,沙鈴仙人掌        ,,,,,5.0,Grass,,Cactus Pokémon,1,28.0,Water Absorb,Chlorophyll,Storm Drain,75.0,86.0,67.0,106.0,67.0,60.0,461.0,2 Sp. Atk,255,50,161,Medium Fast,Grass,,50,50.0,20,Ordinary,,,,,,,
557,Dwebble,石居蟹,,,,,5.0,Bug,Rock,Rock Inn Pokémon,0.3,14.5,Sturdy,Shell Armor,Weak Armor,50.0,65.0,85.0,35.0,35.0,55.0,325.0,1 Defense,190,50,65,Medium Fast,Bug,Mineral,50,50.0,20,Ordinary,,,,,,,
558,Crustle,岩殿居蟹,,,,,5.0,Bug,Rock,Stone Home Pokémon,1.4,200.0,Sturdy,Shell Armor,Weak Armor,70.0,105.0,125.0,65.0,75.0,45.0,485.0,2 Defense,75,50,170,Medium Fast,Bug,Mineral,50,50.0,20,Ordinary,,,,,,,
559,Scraggy,滑滑小子,,,,,5.0,Dark,Fighting,Shedding Pokémon,0.6,11.8,Shed Skin,Moxie,Intimidate,50.0,75.0,70.0,35.0,70.0,48.0,348.0,1 Attack,180,35,70,Medium Fast,Dragon,Field,50,50.0,15,Ordinary,,,,,,,
560,Scrafty,頭巾混混,,,,,5.0,Dark,Fighting,Hoodlum Pokémon,1.1,30.0,Shed Skin,Moxie,Intimidate,65.0,90.0,115.0,45.0,115.0,58.0,488.0,"1 Defense, 1 Sp. Def",90,50,171,Medium Fast,Dragon,Field,50,50.0,15,Ordinary,,,,,,,
561,Sigilyph,象徵鳥,,,,,5.0,Psychic,Flying,Avianoid Pokémon,1.4,14.0,Wonder Skin,Magic Guard,Tinted Lens,72.0,58.0,80.0,103.0,80.0,97.0,490.0,2 Sp. Atk,45,50,172,Medium Fast,Flying,,50,50.0,20,Ordinary,,,,,,,
562,Yamask,哭哭面具,,"哭哭面具
伽勒爾的樣子",,,5.0,Ghost,,Spirit Pokémon,0.5,1.5,Mummy,,,38.0,30.0,85.0,55.0,65.0,30.0,303.0,1 Defense,190,50,61,Medium Fast,Amorphous,Mineral,50,50.0,25,Ordinary,,,,,,,
563,Cofagrigus,死神棺,,,,,5.0,Ghost,,Coffin Pokémon,1.7,76.5,Mummy,,,58.0,50.0,145.0,95.0,105.0,30.0,483.0,2 Defense,90,50,169,Medium Fast,Amorphous,Mineral,50,50.0,25,Ordinary,,,,,,,
564,Tirtouga,原蓋海龜,,,,,5.0,Water,Rock,Prototurtle Pokémon,0.7,16.5,Solid Rock,Sturdy,Swift Swim,54.0,78.0,103.0,53.0,45.0,22.0,355.0,1 Defense,45,50,71,Medium Fast,Water 1,Water 3,87.5,12.5,30,Fossil,,,,,,,
565,Carracosta,肋骨海龜,,,,,5.0,Water,Rock,Prototurtle Pokémon,1.2,81.0,Solid Rock,Sturdy,Swift Swim,74.0,108.0,133.0,83.0,65.0,32.0,495.0,2 Defense,45,50,173,Medium Fast,Water 1,Water 3,87.5,12.5,30,Fossil,,,,,,,
566,Archen,始祖小鳥,,,,,5.0,Rock,Flying,First Bird Pokémon,0.5,9.5,Defeatist,,,55.0,112.0,45.0,74.0,45.0,70.0,401.0,1 Attack,45,50,71,Medium Fast,Flying,Water 3,87.5,12.5,30,Fossil,,,,,,,
567,Archeops,始祖大鳥,,,,,5.0,Rock,Flying,First Bird Pokémon,1.4,32.0,Defeatist,,,75.0,140.0,65.0,112.0,65.0,110.0,567.0,2 Attack,45,50,177,Medium Fast,Flying,Water 3,87.5,12.5,30,Fossil,,,,,,,
568,Trubbish,破破袋,,,,,5.0,Poison,,Trash Bag Pokémon,0.6,31.0,Stench,Sticky Hold,Aftermath,50.0,50.0,62.0,40.0,62.0,65.0,329.0,1 Speed,190,50,66,Medium Fast,Mineral,,50,50.0,20,Ordinary,,,,,,,
569,Garbodor,灰塵山,,,,,5.0,Poison,,Trash Heap Pokémon,1.9,107.3,Stench,Weak Armor,Aftermath,80.0,95.0,82.0,60.0,82.0,75.0,474.0,2 Attack,60,50,166,Medium Fast,Mineral,,50,50.0,20,Ordinary,,,,,,,
570,Zorua,索羅亞,,,"索羅亞
洗翠的樣子",,5.0,Dark,,Tricky Fox Pokémon,0.7,12.5,Illusion,,,40.0,65.0,40.0,80.0,40.0,65.0,330.0,1 Sp. Atk,75,50,66,Medium Slow,Field,,87.5,12.5,25,Ordinary,,,,,,,
571,Zoroark,索羅亞克,,,"索羅亞克
洗翠的樣子",,5.0,Dark,,Illusion Fox Pokémon,1.6,81.1,Illusion,,,60.0,105.0,60.0,120.0,60.0,105.0,510.0,2 Sp. Atk,45,50,179,Medium Slow,Field,,87.5,12.5,20,Ordinary,,,,,,,
572,Minccino,泡沫栗鼠,,,,,5.0,Normal,,Chinchilla Pokémon,0.4,5.8,Cute Charm,Technician,Skill Link,55.0,50.0,40.0,40.0,40.0,75.0,300.0,1 Speed,255,50,60,Fast,Field,,25,75.0,15,Ordinary,,,,,,,
573,Cinccino,奇諾栗鼠,,,,,5.0,Normal,,Scarf Pokémon,0.5,7.5,Cute Charm,Technician,Skill Link,75.0,95.0,60.0,65.0,60.0,115.0,470.0,2 Speed,60,50,165,Fast,Field,,25,75.0,15,Ordinary,,,,,,,
574,Gothita,哥德寶寶,,,,,5.0,Psychic,,Fixation Pokémon,0.4,5.8,Frisk,Competitive,Shadow Tag,45.0,30.0,50.0,55.0,65.0,45.0,290.0,1 Sp. Def,200,50,58,Medium Slow,Human-Like,,25,75.0,20,Ordinary,,,,,,,
575,Gothorita,哥德小童,,,,,5.0,Psychic,,Manipulate Pokémon,0.7,18.0,Frisk,Competitive,Shadow Tag,60.0,45.0,70.0,75.0,85.0,55.0,390.0,2 Sp. Def,100,50,137,Medium Slow,Human-Like,,25,75.0,20,Ordinary,,,,,,,
576,Gothitelle,哥德小姐,,,,,5.0,Psychic,,Astral Body Pokémon,1.5,44.0,Frisk,Competitive,Shadow Tag,70.0,55.0,95.0,95.0,110.0,65.0,490.0,3 Sp. Def,50,50,245,Medium Slow,Human-Like,,25,75.0,20,Ordinary,,,,,,,
577,Solosis,單卵細胞球,,,,,5.0,Psychic,,Cell Pokémon,0.3,1.0,Overcoat,Magic Guard,Regenerator,45.0,30.0,40.0,105.0,50.0,20.0,290.0,1 Sp. Atk,200,50,58,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
578,Duosion,雙卵細胞球,,,,,5.0,Psychic,,Mitosis Pokémon,0.6,8.0,Overcoat,Magic Guard,Regenerator,65.0,40.0,50.0,125.0,60.0,30.0,370.0,2 Sp. Atk,100,50,130,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
579,Reuniclus,人造細胞卵,,,,,5.0,Psychic,,Multiplying Pokémon,1,20.1,Overcoat,Magic Guard,Regenerator,110.0,65.0,75.0,125.0,85.0,30.0,490.0,3 Sp. Atk,50,50,221,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
580,Ducklett,鴨寶寶,,,,,5.0,Water,Flying,Water Bird Pokémon,0.5,5.5,Keen Eye,Big Pecks,Hydration,62.0,44.0,50.0,44.0,50.0,55.0,305.0,1 HP,190,50,61,Medium Fast,Flying,Water 1,50,50.0,20,Ordinary,,,,,,,
581,Swanna,舞天鵝,,,,,5.0,Water,Flying,White Bird Pokémon,1.3,24.2,Keen Eye,Big Pecks,Hydration,75.0,87.0,63.0,87.0,63.0,98.0,473.0,2 Speed,45,50,166,Medium Fast,Flying,Water 1,50,50.0,20,Ordinary,,,,,,,
582,Vanillite,迷你冰,,,,,5.0,Ice,,Fresh Snow Pokémon,0.4,5.7,Ice Body,Snow Cloak,Weak Armor,36.0,50.0,50.0,65.0,60.0,44.0,305.0,1 Sp. Atk,255,50,61,Slow,Mineral,,50,50.0,20,Ordinary,,,,,,,
583,Vanillish,多多冰,,,,,5.0,Ice,,Icy Snow Pokémon,1.1,41.0,Ice Body,Snow Cloak,Weak Armor,51.0,65.0,65.0,80.0,75.0,59.0,395.0,2 Sp. Atk,120,50,138,Slow,Mineral,,50,50.0,20,Ordinary,,,,,,,
584,Vanilluxe,雙倍多多冰,,,,,5.0,Ice,,Snowstorm Pokémon,1.3,57.5,Ice Body,Snow Warning,Weak Armor,71.0,95.0,85.0,110.0,95.0,79.0,535.0,3 Sp. Atk,45,50,241,Slow,Mineral,,50,50.0,20,Ordinary,,,,,,,
585,Deerling,四季鹿	,,,,,5.0,Normal,Grass,Season Pokémon,0.6,19.5,Chlorophyll,Sap Sipper,Serene Grace,60.0,60.0,50.0,40.0,50.0,75.0,335.0,1 Speed,190,50,67,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
586,Sawsbuck,萌芽鹿,,,,,5.0,Normal,Grass,Season Pokémon,1.9,92.5,Chlorophyll,Sap Sipper,Serene Grace,80.0,100.0,70.0,60.0,70.0,95.0,475.0,2 Attack,75,50,166,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
587,Emolga,電飛鼠,,,,,5.0,Electric,Flying,Sky Squirrel Pokémon,0.4,5.0,Static,Motor Drive,,55.0,75.0,60.0,75.0,60.0,103.0,428.0,2 Speed,200,50,150,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
588,Karrablast,蓋蓋蟲,,,,,5.0,Bug,,Clamping Pokémon,0.5,5.9,Swarm,Shed Skin,No Guard,50.0,75.0,45.0,40.0,45.0,60.0,315.0,1 Attack,200,50,63,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
589,Escavalier,騎士蝸牛,,,,,5.0,Bug,Steel,Cavalry Pokémon,1,33.0,Swarm,Shell Armor,Overcoat,70.0,135.0,105.0,60.0,105.0,20.0,495.0,2 Attack,75,50,173,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
590,Foongus,哎呀球菇,,,,,5.0,Grass,Poison,Mushroom Pokémon,0.2,1.0,Effect Spore,Regenerator,,69.0,55.0,45.0,55.0,55.0,15.0,294.0,1 HP,190,50,59,Medium Fast,Grass,,50,50.0,20,Ordinary,,,,,,,
591,Amoonguss,敗露球菇,,,,,5.0,Grass,Poison,Mushroom Pokémon,0.6,10.5,Effect Spore,Regenerator,,114.0,85.0,70.0,85.0,80.0,30.0,464.0,2 HP,75,50,162,Medium Fast,Grass,,50,50.0,20,Ordinary,,,,,,,
592,Frillish,輕飄飄,,,,,5.0,Water,Ghost,Floating Pokémon,1.2,33.0,Water Absorb,Cursed Body,Damp,55.0,40.0,50.0,65.0,85.0,40.0,335.0,1 Sp. Def,190,50,67,Medium Fast,Amorphous,,50,50.0,20,Ordinary,,,,,,,
593,Jellicent,胖嘟嘟,,,,,5.0,Water,Ghost,Floating Pokémon,2.2,135.0,Water Absorb,Cursed Body,Damp,100.0,60.0,70.0,85.0,105.0,60.0,480.0,2 Sp. Def,60,50,168,Medium Fast,Amorphous,,50,50.0,20,Ordinary,,,,,,,
594,Alomomola,保母曼波,,,,,5.0,Water,,Caring Pokémon,1.2,31.6,Healer,Hydration,Regenerator,165.0,75.0,80.0,40.0,45.0,65.0,470.0,2 HP,75,50,165,Fast,Water 1,Water 2,50,50.0,40,Ordinary,,,,,,,
595,Joltik,電電蟲,,,,,5.0,Bug,Electric,Attaching Pokémon,0.1,0.6,Compound Eyes,Unnerve,Swarm,50.0,47.0,50.0,57.0,50.0,65.0,319.0,1 Speed,190,50,64,Medium Fast,Bug,,50,50.0,20,Ordinary,,,,,,,
596,Galvantula,電蜘蛛,,,,,5.0,Bug,Electric,EleSpider Pokémon,0.8,14.3,Compound Eyes,Unnerve,Swarm,70.0,77.0,60.0,97.0,60.0,108.0,472.0,2 Speed,75,50,165,Medium Fast,Bug,,50,50.0,20,Ordinary,,,,,,,
597,Ferroseed,種子鐵球,,,,,5.0,Grass,Steel,Thorn Seed Pokémon,0.6,18.8,Iron Barbs,,,44.0,50.0,91.0,24.0,86.0,10.0,305.0,1 Defense,255,50,61,Medium Fast,Grass,Mineral,50,50.0,20,Ordinary,,,,,,,
598,Ferrothorn,堅果啞鈴,,,,,5.0,Grass,Steel,Thorn Pod Pokémon,1,110.0,Iron Barbs,Anticipation,,74.0,94.0,131.0,54.0,116.0,20.0,489.0,2 Defense,90,50,171,Medium Fast,Grass,Mineral,50,50.0,20,Ordinary,,,,,,,
599,Klink,齒輪兒,,,,,5.0,Steel,,Gear Pokémon,0.3,21.0,Plus,Minus,Clear Body,40.0,55.0,70.0,45.0,60.0,30.0,300.0,1 Defense,130,50,60,Medium Slow,Mineral,,,,20,Ordinary,,,,,,,
600,Klang,齒輪組,,,,,5.0,Steel,,Gear Pokémon,0.6,51.0,Plus,Minus,Clear Body,60.0,80.0,95.0,70.0,85.0,50.0,440.0,2 Defense,60,50,154,Medium Slow,Mineral,,,,20,Ordinary,,,,,,,
601,Klinklang,齒輪組,,,,,5.0,Steel,,Gear Pokémon,0.6,81.0,Plus,Minus,Clear Body,60.0,100.0,115.0,70.0,85.0,90.0,520.0,3 Defense,30,50,234,Medium Slow,Mineral,,,,20,Ordinary,,,,,,,
602,Tynamo,麻麻小魚,,,,,5.0,Electric,,EleFish Pokémon,0.2,0.3,Levitate,,,35.0,55.0,40.0,45.0,40.0,60.0,275.0,1 Speed,190,50,55,Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
603,Eelektrik,麻麻鰻,,,,,5.0,Electric,,EleFish Pokémon,1.2,22.0,Levitate,,,65.0,85.0,70.0,75.0,70.0,40.0,405.0,2 Attack,60,50,142,Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
604,Eelektross,麻麻鰻魚王,,,,,5.0,Electric,,EleFish Pokémon,2.1,80.5,Levitate,,,85.0,115.0,80.0,105.0,80.0,50.0,515.0,3 Attack,30,50,258,Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
605,Elgyem,小灰怪,,,,,5.0,Psychic,,Cerebral Pokémon,0.5,9.0,Telepathy,Synchronize,Analytic,55.0,55.0,55.0,85.0,55.0,30.0,335.0,1 Sp. Atk,255,50,67,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
606,Beheeyem,大宇怪,,,,,5.0,Psychic,,Cerebral Pokémon,1,34.5,Telepathy,Synchronize,Analytic,75.0,75.0,75.0,125.0,95.0,40.0,485.0,2 Sp. Atk,90,50,170,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
607,Litwick,燭光靈,,,,,5.0,Ghost,Fire,Candle Pokémon,0.3,3.1,Flash Fire,Flame Body,Infiltrator,50.0,30.0,55.0,65.0,55.0,20.0,275.0,1 Sp. Atk,190,50,55,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
608,Lampent,燈火幽靈,,,,,5.0,Ghost,Fire,Lamp Pokémon,0.6,13.0,Flash Fire,Flame Body,Infiltrator,60.0,40.0,60.0,95.0,60.0,55.0,370.0,2 Sp. Atk,90,50,130,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
609,Chandelure,水晶燈火靈,,,,,5.0,Ghost,Fire,Luring Pokémon,1,34.3,Flash Fire,Flame Body,Infiltrator,60.0,55.0,90.0,145.0,90.0,80.0,520.0,3 Sp. Atk,45,50,234,Medium Slow,Amorphous,,50,50.0,20,Ordinary,,,,,,,
610,Axew,牙牙,,,,,5.0,Dragon,,Tusk Pokémon,0.6,18.0,Rivalry,Mold Breaker,Unnerve,46.0,87.0,60.0,30.0,40.0,57.0,320.0,1 Attack,75,35,64,Slow,Dragon,Monster,50,50.0,40,Ordinary,,,,,,,
611,Fraxure,斧牙龍,,,,,5.0,Dragon,,Axe Jaw Pokémon,1,36.0,Rivalry,Mold Breaker,Unnerve,66.0,117.0,70.0,40.0,50.0,67.0,410.0,2 Attack,60,35,144,Slow,Dragon,Monster,50,50.0,40,Ordinary,,,,,,,
612,Haxorus,雙斧戰龍,,,,,5.0,Dragon,,Axe Jaw Pokémon,1.8,105.5,Rivalry,Mold Breaker,Unnerve,76.0,147.0,90.0,60.0,70.0,97.0,540.0,3 Attack,45,35,270,Slow,Dragon,Monster,50,50.0,40,Ordinary,,,,,,,
613,Cubchoo,噴嚏熊,,,,,5.0,Ice,,Chill Pokémon,0.5,8.5,Snow Cloak,Slush Rush,Rattled,55.0,70.0,40.0,60.0,40.0,40.0,305.0,1 Attack,120,50,61,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
614,Beartic,凍原熊,,,,,5.0,Ice,,Freezing Pokémon,2.6,260.0,Snow Cloak,Slush Rush,Swift Swim,95.0,130.0,80.0,70.0,80.0,50.0,505.0,2 Attack,60,50,177,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
615,Cryogonal,幾何雪花,,,,,5.0,Ice,,Crystallizing Pokémon,1.1,148.0,Levitate,,,80.0,50.0,50.0,95.0,135.0,105.0,515.0,2 Sp. Def,25,50,180,Medium Fast,Mineral,,,,25,Ordinary,,,,,,,
616,Shelmet,小嘴蝸,,,,,5.0,Bug,,Snail Pokémon,0.4,7.7,Hydration,Shell Armor,Overcoat,50.0,40.0,85.0,40.0,65.0,25.0,305.0,1 Defense,200,50,61,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
617,Accelgor,敏捷蟲,,,,,5.0,Bug,,Shell Out Pokémon,0.8,25.3,Hydration,Sticky Hold,Unburden,80.0,70.0,40.0,100.0,60.0,145.0,495.0,2 Speed,75,50,173,Medium Fast,Bug,,50,50.0,15,Ordinary,,,,,,,
618,Stunfisk,泥巴魚,,"泥巴魚
伽勒爾的樣子",,,5.0,Ground,Electric,Trap Pokémon,0.7,11.0,Static,Limber,Sand Veil,109.0,66.0,84.0,81.0,99.0,32.0,471.0,2 HP,75,70,165,Medium Fast,Amorphous,Water 1,50,50.0,20,Ordinary,,,,,,,
619,Mienfoo,功夫鼬,,,,,5.0,Fighting,,Martial Arts Pokémon,0.9,20.0,Inner Focus,Regenerator,Reckless,45.0,85.0,50.0,55.0,50.0,65.0,350.0,1 Attack,180,50,70,Medium Slow,Field,Human-Like,50,50.0,25,Ordinary,,,,,,,
620,Mienshao,師父鼬,,,,,5.0,Fighting,,Martial Arts Pokémon,1.4,35.5,Inner Focus,Regenerator,Reckless,65.0,125.0,60.0,95.0,60.0,105.0,510.0,2 Attack,45,50,179,Medium Slow,Field,Human-Like,50,50.0,25,Ordinary,,,,,,,
621,Druddigon,赤面龍,,,,,5.0,Dragon,,Cave Pokémon,1.6,139.0,Rough Skin,Sheer Force,Mold Breaker,77.0,120.0,90.0,60.0,90.0,48.0,485.0,2 Attack,45,50,170,Medium Fast,Dragon,Monster,50,50.0,30,Ordinary,,,,,,,
622,Golett,泥偶小人,,,,,5.0,Ground,Ghost,Automaton Pokémon,1,92.0,Iron Fist,Klutz,No Guard,59.0,74.0,50.0,35.0,50.0,35.0,303.0,1 Attack,190,50,61,Medium Fast,Mineral,,,,25,Ordinary,,,,,,,
623,Golurk,泥偶巨人,,,,,5.0,Ground,Ghost,Automaton Pokémon,2.8,330.0,Iron Fist,Klutz,No Guard,89.0,124.0,80.0,55.0,80.0,55.0,483.0,2 Attack,90,50,169,Medium Fast,Mineral,,,,25,Ordinary,,,,,,,
624,Pawniard,駒刀小兵,,,,,5.0,Dark,Steel,Sharp Blade Pokémon,0.5,10.2,Defiant,Inner Focus,Pressure,45.0,85.0,70.0,40.0,40.0,60.0,340.0,1 Attack,120,35,68,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
625,Bisharp,劈斬司令,,,,,5.0,Dark,Steel,Sword Blade Pokémon,1.6,70.0,Defiant,Inner Focus,Pressure,65.0,125.0,100.0,60.0,70.0,70.0,490.0,2 Attack,45,35,172,Medium Fast,Human-Like,,50,50.0,20,Ordinary,,,,,,,
626,Bouffalant,爆炸頭水牛,,,,,5.0,Normal,,Bash Buffalo Pokémon,1.6,94.6,Reckless,Sap Sipper,Soundproof,95.0,110.0,95.0,40.0,95.0,55.0,490.0,2 Attack,45,50,172,Medium Fast,Field,,50,50.0,20,Ordinary,,,,,,,
627,Rufflet,毛頭小鷹,,,,,5.0,Normal,Flying,Eaglet Pokémon,0.5,10.5,Keen Eye,Sheer Force,Hustle,70.0,83.0,50.0,37.0,50.0,60.0,350.0,1 Attack,190,50,70,Slow,Flying,,100,0.0,20,Ordinary,,,,,,,
628,Braviary,勇士雄鷹,,,"勇士雄鷹
洗翠的樣子",,5.0,Normal,Flying,Valiant Pokémon,1.5,41.0,Keen Eye,Sheer Force,Defiant,100.0,123.0,75.0,57.0,75.0,80.0,510.0,2 Attack,60,50,179,Slow,Flying,,100,0.0,20,Ordinary,,,,,,,
